cidade,uf,servico,valor_mensal,capacidade_mb,vigencia_meses,ip_fixo,interface
Rio De Janeiro,RJ,IP DEDICADO,300.0,20,24,30,FIBRA
,,CHIPS 4G,800.0,1,60,,
Brasilia,DF,IP BANDA LARGA,100.29,600,12,,FIBRA
Dourados / Ms (Dos),MS,IP DEDICADO,290.0,10,0,0,FIBRA
Chapadao Do Sul / Ms (Csf),MS,IP DEDICADO,290.0,10,0,0,FIBRA
Dourados / Ms (Dos),MS,IP DEDICADO,300.0,15,0,0,FIBRA
Dourados / Ms (Dos),MS,IP DEDICADO,290.0,10,0,0,FIBRA
Fatima Do Sul / Ms (Fsu),MS,IP DEDICADO,290.0,10,0,0,FIBRA
Dourados / Ms (Dos),MS,IP DEDICADO,290.0,10,0,0,FIBRA
Rio De Janeiro,RJ,L2L LAST MILE,0.01,20,24,,FIBRA
Porto Alegre,RS,IP BANDA LARGA,200.0,400,60,,FIBRA
Porto Alegre,RS,IP BANDA LARGA,200.0,400,60,,FIBRA
Porto Alegre,RS,IP BANDA LARGA,200.0,400,60,,FIBRA
Natal,RN,IP BANDA LARGA,99.99,630,60,,FIBRA
Natal,RN,IP BANDA LARGA,99.99,630,60,,FIBRA
Lorena,SP,IP DEDICADO,0.0,60,36,30,FIBRA
Sao Leopoldo / Rs (Sle),RS,IP DEDICADO,250.0,10,0,30,FIBRA
Capela De Santana / Rs (Cqn),RS,L2L LAST MILE,250.0,10,0,30,FIBRA
Dois Vizinhos / Pr (Dvz),PR,IP DEDICADO,160.0,12,0,30,FIBRA
Sapa,PB,IP DEDICADO,220.0,55,24,30,FIBRA
Sao Joao Do Meriti,RJ,L2L  LAST MILE,0.0,1000,36,,FIBRA
Itaquaquecetuba / Sp (Iaq),SP,IP DEDICADO,350.0,20,0,0,FIBRA
Rio Largo,AL,IP DEDICADO,500.0,50,36,30,FIBRA
Vitoria Da Conquista / Ba (Vca),BA,IP DEDICADO,700.0,50,0,0,FIBRA
Panambi / Rs (Pmb),RS,L2L LAST MILE,250.0,10,0,0,FIBRA
Rio De Janeiro,RJ,L2L LAST MILE,320.0,20,24,,FIBRA
Petrolina,PE,IP DEDICADO,600.0,55,36,30,FIBRA
Sao Goncalo / Rj (Sgo),RJ,IP DEDICADO,350.0,12,0,0,FIBRA
Sapucaia Do Sul,RS,L2L  LAST MILE,280.0,20,24,,FIBRA
Jundiai / Sp (Jai),SP,IP DEDICADO,0.0,50,0,30,RÃDIO
Sao Luas,MA,IP DEDICADO,600.0,50,36,30,FIBRA
Manaus / Am (Mns),AM,IP DEDICADO,400.0,12,0,30,FIBRA
Manaus / Am (Mns),AM,IP BANDA LARGA,299.0,100,0,0,FIBRA
Manaus / Am (Mns),AM,IP BANDA LARGA,220.0,100,0,0,FIBRA
