cidade,uf,servico,valor_mensal,capacidade_mb,vigencia_meses,ip_fixo,interface
Aracatuba,SP,IP BANDA LARGA,170.0,100,60,,FIBRA
Aruja / Sp (Auj),SP,L2L LAST MILE,0.0,300,0,,FIBRA
Resende,RJ,IP DEDICADO,0.0,102,36,/30,FIBRA
Cascavel,PR,IP DEDICADO,270.0,50,24,32,FIBRA
Juiz De Fora / Mg (Jfa),MG,IP DEDICADO,768.9,100,0,,FIBRA
,,IP DEDICADO,750.0,60,12,,FIBRA
Itatiaia,RJ,IP DEDICADO,899.9,100,24,30,RÃDIO
,,IP DEDICADO,750.0,60,12,,FIBRA
Campinas / Sp (Cas),SP,IP DEDICADO,0.0,100,24,0,RÃDIO
Goiania,GO,IP BANDA LARGA,168.0,1024,60,,FIBRA
Goiania,GO,IP BANDA LARGA,168.0,1024,60,,FIBRA
,,IP DEDICADO,0.0,60,12,,FIBRA
,,IP DEDICADO,0.0,60,12,,FIBRA
,,IP DEDICADO,599.0,60,12,,FIBRA
,,IP DEDICADO,318.92,60,12,,FIBRA
Marilia / Sp (Mia),SP,IP DEDICADO,400.0,20,0,,FIBRA
,,IP DEDICADO,318.92,60,12,,RÃDIO
,,IP DEDICADO,318.92,60,12,,RÃDIO
,,IP DEDICADO,89.5,60,12,,FIBRA
,,IP DEDICADO,89.5,60,12,,FIBRA
,,IP DEDICADO,300.0,60,12,,FIBRA
,,IP DEDICADO,300.0,60,12,,FIBRA
Curitiba / Pr (Cta),PR,IP DEDICADO,400.0,10,0,,RÃDIO
,,IP DEDICADO,199.9,60,13,,FIBRA
,,IP DEDICADO,199.9,60,13,,FIBRA
,,IP DEDICADO,700.0,60,12,,FIBRA
,,IP DEDICADO,700.0,60,12,,FIBRA
,,IP DEDICADO,318.92,60,12,,FIBRA
,,IP DEDICADO,318.92,60,12,,FIBRA
,,IP DEDICADO,318.0,60,12,,FIBRA
,,IP DEDICADO,318.0,60,12,,FIBRA
,,IP BANDA LARGA,250.0,60,12,,FIBRA
,,IP BANDA LARGA,250.0,60,12,,FIBRA
,,IP BANDA LARGA,150.0,60,12,,FIBRA
,,IP BANDA LARGA,150.0,60,12,,FIBRA
,,IP DEDICADO,200.0,60,11,,FIBRA
,,IP DEDICADO,200.0,60,11,,FIBRA
Maua,SP,IP BANDA LARGA,115.0,100,60,,FIBRA
Itaquaquecetuba,SP,IP BANDA LARGA,115.0,100,60,,FIBRA
Lorena,SP,IP BANDA LARGA,115.0,100,60,,FIBRA
,,IP DEDICADO,350.0,60,12,,FIBRA
,,IP DEDICADO,350.0,60,12,,FIBRA
,,IP DEDICADO,170.0,60,12,,FIBRA
,,IP DEDICADO,170.0,60,12,,FIBRA
,,IP DEDICADO,318.0,60,11,,FIBRA
,,IP DEDICADO,318.0,60,11,,FIBRA
,,IP DEDICADO,318.92,60,12,,FIBRA
,,IP DEDICADO,318.92,60,12,,FIBRA
,,CANCELAMENTO | IP DEDICADO,590.0,60,12,,FIBRA
,,IP DEDICADO,590.0,60,12,,FIBRA
,,IP DEDICADO,0.0,60,12,,FIBRA
,,IP DEDICADO,0.0,60,12,,FIBRA
,,CANCELAMENTO,650.0,60,12,,FIBRA
,,CANCELAMENTO,650.0,60,12,,FIBRA
Ourinhos,SP,IP BANDA LARGA,99.9,400,60,,FIBRA
,,IP DEDICADO,0.01,60,12,,FIBRA
,,IP DEDICADO,0.01,60,12,,FIBRA
,,IP DEDICADO,350.0,60,11,,FIBRA
Itapira,SP,IP BANDA LARGA,119.9,700,60,,FIBRA
,,IP DEDICADO,350.0,60,11,,FIBRA
,,L2L  LAST MILE | IP DEDICADO,800.0,60,12,,FIBRA
Ponta Grossa / Pr (Pgo),PR,IP DEDICADO,209.9,100,36,0,FIBRA
,,L2L  LAST MILE | IP DEDICADO,800.0,60,12,,FIBRA
Ijua,RS,IP BANDA LARGA,109.0,20,60,,FIBRA
,,IP DEDICADO,318.92,60,12,,FIBRA
,,IP DEDICADO,318.92,60,12,,FIBRA
Verana3Polis,RS,L2L LAST MILE,318.92,210,12,,FIBRA
Verana3Polis,RS,L2L LAST MILE,318.92,210,12,,FIBRA
Santo Anta Nio Da Patrulha,RS,IP DEDICADO,525.0,60,12,,FIBRA
Igrejinha,RS,IP DEDICADO,500.0,60,12,,FIBRA
Igrejinha,RS,IP DEDICADO,500.0,60,12,,FIBRA
Salvador,BA,IP DEDICADO,650.0,60,24,,FIBRA
Salvador,BA,IP DEDICADO,650.0,60,24,,FIBRA
Fortaleza,CE,IP DEDICADO,400.0,60,12,,FIBRA
,,IP DEDICADO,400.0,0,0,,
Sao Jose Dos Campos / Sp (Sjc),SP,IP DEDICADO,400.0,40,0,,FIBRA
Pouso Alegre,MG,IP DEDICADO,0.0,210,24,,FIBRA
Pouso Alegre,MG,IP DEDICADO,0.0,210,24,,FIBRA
Pouso Alegre,MG,IP DEDICADO,0.0,210,24,,FIBRA
Cruz Alta,RS,L2L LAST MILE,345.0,50,36,0,FIBRA
Rio De Janeiro,RJ,IP DEDICADO,844.72,60,24,,FIBRA
Rio De Janeiro,RJ,IP DEDICADO,844.72,60,24,,FIBRA
Sao Jose De Mipibu / Rn (Sii),RN,IP DEDICADO,600.0,100,36,30,FIBRA
Sumare / Sp (Sum),SP,IP DEDICADO,0.0,500,12,/30,FIBRA
Sao Paulo / Sp (Spo),SP,IP DEDICADO,900.0,200,24,/30,FIBRA
Sao Gonaalo,RJ,IP BANDA LARGA,199.9,600,12,,FIBRA
Sao Paulo,SP,L2L  LAST MILE,0.0,1000,24,,FIBRA
Uberaba,MG,IP DEDICADO,0.0,102,24,/30,FIBRA
Itajai / Sc (Iai),SC,IP DEDICADO,600.0,50,0,,FIBRA
Casca / Rs (Csx),RS,L2L LAST MILE,500.0,50,24,0,FIBRA
Frederico Westphalen / Rs (Fwn),RS,L2L LAST MILE,380.0,50,24,,FIBRA
Frederico Westphalen / Rs (Fwn),RS,L2L LAST MILE,450.0,50,24,0,FIBRA
Frederico Westphalen / Rs (Fwn),RS,L2L LAST MILE,380.0,50,24,,FIBRA
Frederico Westphalen / Rs (Fwn),RS,L2L LAST MILE,380.0,30,0,0,FIBRA
Sorocaba,SP,IP BANDA LARGA,80.0,100,12,0,FIBRA
Sorocaba,SP,IP DEDICADO,600.0,22,12,30,FIBRA
Canoas,RS,L2L LAST MILE,400.0,100,24,l2l,FIBRA
Sao Carlos,SP,IP DEDICADO,750.0,102,36,30,RÃDIO
Sao Bernardo Do Campo,SP,IP DEDICADO,650.0,52,12,30,FIBRA
Brasilia / Df (Bsa),DF,IP DEDICADO,550.0,55,12,0,FIBRA
Sete Lagoas,MG,IP DEDICADO,487.9,50,1,0,FIBRA
Maringa / Pr (Mga),PR,IP DEDICADO,995.0,50,0,,FIBRA
Mogi Das Cruzes / Sp (Mcz),SP,IP DEDICADO,594.0,55,0,,FIBRA
Mogi Das Cruzes,SP,IP DEDICADO,400.0,210,36,/30,FIBRA
Sao Carlos,SP,IP DEDICADO,940.0,100,36,30,RÃDIO
,,CHIPS 4G,0.0,1,60,,FIBRA
,,CHIPS 4G,0.0,1,60,,
Brejo Alegre,SP,IP BANDA LARGA,99.9,50,60,,FIBRA
Caruaru / Pe (Cru),PE,IP DEDICADO,500.0,100,0,,FIBRA
Dourados,MS,L2L  LAST MILE,250.0,10,60,,FIBRA
Campo Grande,MS,L2L  LAST MILE,250.0,10,60,,FIBRA
Campo Grande,MS,L2L  LAST MILE,250.0,10,60,,FIBRA
Campo Grande,MS,L2L LAST MILE,250.0,10,60,,FIBRA
Campo Grande,MS,L2L  LAST MILE,250.0,10,60,,FIBRA
Campo Grande,MS,L2L LAST MILE,250.0,10,60,,FIBRA
Campo Grande,MS,L2L LAST MILE,250.0,10,60,,FIBRA
Campo Grande,MS,L2L LAST MILE,250.0,10,60,,FIBRA
Jaraguari,MS,L2L  LAST MILE,250.0,10,60,,FIBRA
Campo Grande,MS,L2L LAST MILE,250.0,10,60,,FIBRA
Taquarussu,MS,L2L LAST MILE,250.0,10,60,,FIBRA
Amambai,MS,L2L LAST MILE,250.0,10,60,,FIBRA
Fatima Do Sul,MS,L2L LAST MILE,250.0,10,60,,FIBRA
Campo Grande,MS,L2L LAST MILE,250.0,10,60,,FIBRA
Dourados,MS,L2L LAST MILE,250.0,10,60,,FIBRA
Campo Grande,MS,L2L  LAST MILE,250.0,10,60,,FIBRA
Campo Grande,MS,L2L LAST MILE,250.0,10,60,,FIBRA
Campo Grande,MS,L2L LAST MILE,250.0,10,60,,FIBRA
Campo Grande,MS,L2L LAST MILE,250.0,10,60,,FIBRA
Campo Grande,MS,L2L LAST MILE,250.0,10,60,,FIBRA
Sao Gabriel / Rs (Sgb),RS,L2L LAST MILE,0.0,100,24,0,FIBRA
Nova Iguacu / Rj (Niu),RJ,IP DEDICADO,850.0,50,0,,RÃDIO
,,IP DEDICADO,990.0,100,36,30,RÃDIO
Sao Paulo,SP,IP DEDICADO,0.0,200,36,30,RÃDIO
Ribeirao Preto,SP,IP DEDICADO,600.0,100,36,30,FIBRA
Lagoa Vermelha / Rs (Lvh),RS,L2L LAST MILE,350.0,50,12,,FIBRA
Lagoa Vermelha / Rs (Lvh),RS,L2L LAST MILE,350.0,50,12,,FIBRA
Ribeirao Preto,SP,IP BANDA LARGA,119.0,100,12,,FIBRA
Cristalina,GO,IP DEDICADO,450.0,5,30,30,FIBRA
Brasalia,DF,IP DEDICADO,300.0,10,30,30,FIBRA
Brasalia,DF,IP DEDICADO,300.0,10,30,30,FIBRA
Presidente Prudente / Sp (Ppe),SP,IP DEDICADO,0.0,50,0,,FIBRA
Cristalina,GO,IP DEDICADO,450.0,5,30,30,FIBRA
Londrina / Pr (Lda),PR,IP DEDICADO,325.58,50,36,0,FIBRA
Brejo Alegre,SP,IP BANDA LARGA,179.99,100,60,32,FIBRA
Xanxere / Sc (Xxe),SC,L2L LAST MILE,305.58,50,36,0,FIBRA
Alvorada,RS,L2L LAST MILE,200.0,50,36,0,FIBRA
Charqueadas,RS,L2L LAST MILE,350.0,15,36,0,FIBRA
Itu,SP,IP DEDICADO,850.0,50,36,30,RÃDIO
Porto Alegre,RS,IP BANDA LARGA | IP DEDICADO,200.0,150,24,/30,FIBRA
Flores Da Cunha / Rs (Fca),RS,IP BANDA LARGA,109.0,20,0,,FIBRA
Flores Da Cunha,,L2L  LAST MILE,170.0,10,60,,FIBRA
Criciaoma,SC,IP DEDICADO,499.9,50,36,29,FIBRA
Uberlandia,MG,IP BANDA LARGA,115.0,100,60,,FIBRA
Uberlandia,MG,IP BANDA LARGA,115.0,100,60,,FIBRA
Sao Jose Dos Campos / Sp (Sjc),SP,IP DEDICADO,0.0,50,0,,FIBRA
Sete Lagoas,MG,IP BANDA LARGA,115.0,100,60,,FIBRA
Sao Jose Dos Campos / Sp (Sjc),SP,IP DEDICADO,0.05,15,0,,FIBRA
Ananindeua,PA,IP BANDA LARGA,119.99,300,60,,FIBRA
Cuiaba,MT,IP DEDICADO,0.0,102,36,30,RÃDIO
Governador Valadares,MG,IP DEDICADO,500.0,50,24,30,FIBRA
Governador Valadares,MG,IP DEDICADO,0.01,120,24,29,FIBRA
Governador Valadares,MG,IP DEDICADO,0.0,120,24,29,FIBRA
Itaquaquecetuba,SP,IP DEDICADO,500.0,500,12,/30,FIBRA
Mirassol De Oeste,MT,IP DEDICADO,880.0,50,30,30,FIBRA
Suzano / Sp (Szn),SP,L2L LAST MILE,0.0,300,12,30,FIBRA
Tapejara / Rs (Tjr),RS,L2L LAST MILE,200.0,50,36,0,FIBRA
Caxias Do Sul / Rs (Csl),RS,L2L LAST MILE,250.0,50,36,0,FIBRA
Caxias Do Sul / Rs (Csl),RS,L2L LAST MILE,250.0,50,36,0,FIBRA
Canela / Rs (Cen),RS,L2L LAST MILE,250.0,50,36,0,FIBRA
Criciuma / Sc (Cua),SC,IP DEDICADO,340.0,50,36,0,FIBRA
Porto Alegre / Rs (Pae),RS,IP DEDICADO,250.0,50,36,0,FIBRA
Porto Alegre / Rs (Pae),RS,IP DEDICADO | L2L LAST MILE,200.0,50,36,0,FIBRA
Santa Maria,RS,IP BANDA LARGA,115.85,10,60,,FIBRA
Curitiba / Pr (Cta),PR,IP BANDA LARGA,115.79,10,0,,FIBRA
Curitiba,PR,IP BANDA LARGA,65.79,400,60,,FIBRA
Hulha Negra / Rs (Hune),RS,IP BANDA LARGA,176.99,300,0,,FIBRA
Hulha Negra / Rs (Hune),RS,L2L LAST MILE,110.0,5,0,,FIBRA
Torres / Rs (Tes),RS,IP DEDICADO,224.0,12,0,,FIBRA
Guarulhos / Sp (Grs),SP,IP DEDICADO,0.0,200,0,,RÃDIO
Guarulhos / Sp (Grs),SP,IP DEDICADO,0.0,200,0,,RÃDIO
Londrina,PR,IP DEDICADO,252.33,30,60,,FIBRA
Guarulhos,SP,IP DEDICADO,0.0,200,36,30,RÃDIO
Brasalia,DF,L2L  LAST MILE,250.0,5,30,0,FIBRA
Alexania,GO,L2L  LAST MILE,250.0,5,30,0,FIBRA
Aguas Lindas,GO,L2L  LAST MILE,250.0,5,30,0,FIBRA
Luziania,GO,L2L LAST MILE | IP DEDICADO,250.0,5,30,0,FIBRA
Posse,GO,IP DEDICADO | L2L  LAST MILE,250.0,5,30,0,FIBRA
Brasalia,DF,IP DEDICADO | L2L  LAST MILE,250.0,5,24,0,FIBRA
Brasalia,DF,IP DEDICADO | L2L  LAST MILE,250.0,5,30,0,FIBRA
Porto Alegre / Rs (Pae),RS,IP DEDICADO,250.0,52,36,0,FIBRA
Vila Nova Do Sul,RS,L2L  LAST MILE | L2L LAST MILE,380.0,50,36,0,FIBRA
Vila Nova Do Sul / Rs (Vinv),RS,L2L LAST MILE,150.0,5,0,,FIBRA
Porto Alegre / Rs (Pae),RS,L2L LAST MILE,300.0,52,36,0,FIBRA
Canoas / Rs (Can),RS,L2L LAST MILE,318.92,52,36,0,FIBRA
Porto Alegre / Rs (Pae),RS,L2L LAST MILE,210.0,52,36,0,FIBRA
Sao Paulo,SP,IP BANDA LARGA,115.0,300,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,115.0,300,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,115.0,300,60,,FIBRA
Belo Horizonte,MG,IP BANDA LARGA,115.0,300,60,,FIBRA
Palmas,TO,IP DEDICADO,800.0,52,12,30,FIBRA
Sao Paulo,SP,IP DEDICADO,995.0,80,24,30,RÃDIO
Viamao / Rs (Vao),RS,IP DEDICADO,470.0,50,36,0,FIBRA
Xangri-La / Rs (Xnla),RS,IP DEDICADO,300.0,52,36,0,FIBRA
Capao Da Canoa / Rs (Kdk),RS,IP DEDICADO,300.0,52,36,0,FIBRA
Porto Alegre / Rs (Pae),RS,IP DEDICADO,250.0,100,36,0,FIBRA
Jundiaa,SP,L2L  LAST MILE,920.0,1000,36,,FIBRA
Jundiaa,SP,L2L  LAST MILE | IP DEDICADO,0.0,1000,36,0,FIBRA
Jundiaa,SP,L2L  LAST MILE,920.0,1000,36,,FIBRA
Presidente Prudente / Sp (Ppe),SP,IP DEDICADO,800.0,50,0,,RÃDIO
Presidente Prudente,SP,IP DEDICADO,0.0,100,24,30,FIBRA
,,IP DEDICADO,219.9,50,24,30,FIBRA
Presidente Prudente,SP,IP DEDICADO,0.0,100,36,30,FIBRA
Jundiaa,SP,L2L LAST MILE,0.0,1000,36,0,FIBRA
Tramandai / Rs (Tri),RS,IP BANDA LARGA,125.0,650,0,,FIBRA
Tramandaa,RS,L2L LAST MILE,473.0,100,24,/32,FIBRA
Santo Antonio Das Missaes,RS,IP DEDICADO,255.0,50,36,30,FIBRA
Canguau,RS,IP DEDICADO,499.0,50,36,30,FIBRA
Santo Antonio Das Missoes / Rs (Sde),RS,IP DEDICADO,150.0,15,0,,FIBRA
Cangucu / Rs (Cgu),RS,IP DEDICADO,250.0,10,0,,RÃDIO
Santana Do Paraaso,MG,IP DEDICADO,400.0,52,12,30,FIBRA
Ibiruba / Rs (Ibr),RS,L2L LAST MILE,200.0,10,0,,FIBRA
Condor / Rs (Cwr),RS,L2L LAST MILE,500.0,10,0,,FIBRA
Ibiruba,RS,L2L  LAST MILE,500.0,50,36,0,FIBRA
Condor,RS,L2L LAST MILE,500.0,50,36,0,FIBRA
Sao Paulo,SP,IP DEDICADO,0.0,150,24,29,RÃDIO
Itapecerica Da Serra,SP,IP DEDICADO,597.0,52,12,30,FIBRA
Curitiba / Pr (Cta),PR,IP DEDICADO,300.0,52,36,0,FIBRA
Curitiba / Pr (Cta),PR,IP DEDICADO,300.0,52,36,0,FIBRA
Jaragua Do Sul / Sc (Jgs),SC,IP DEDICADO,290.0,200,36,0,FIBRA
Frederico Westphalen / Rs (Fwn),RS,IP DEDICADO,149.9,52,36,0,FIBRA
Torres / Rs (Tes),RS,IP DEDICADO,185.0,52,36,0,FIBRA
Pelotas / Rs (Plt),RS,IP DEDICADO,280.0,52,36,0,FIBRA
Monte Carlo,SC,IP BANDA LARGA,169.9,400,60,,FIBRA
Frei Rogario,SC,IP BANDA LARGA,169.9,400,60,,FIBRA
Gravataa,RS,IP BANDA LARGA,170.0,100,60,,FIBRA
Cruz Alta,RS,IP BANDA LARGA,200.0,50,60,,FIBRA
Venancio Aires,RS,IP DEDICADO,410.0,50,24,/30,FIBRA
Jeranimo Monteiro,ES,IP BANDA LARGA,199.9,50,60,,FIBRA
Tarauaca,AC,IP BANDA LARGA,149.99,500,60,,FIBRA
Itamba,BA,IP BANDA LARGA,150.0,50,60,,FIBRA
Gaurama / Rs (Gau),RS,IP DEDICADO,250.0,200,0,,FIBRA
Entre Rios Do Sul / Rs (Eri),RS,IP DEDICADO,249.9,25,0,,FIBRA
Parintins / Am (Par),AM,IP DEDICADO,500.0,12,0,,FIBRA
Maues / Am (Mus),AM,IP DEDICADO,500.0,12,0,,FIBRA
Rosario Do Sul,RS,IP DEDICADO | L2L LAST MILE,225.0,50,36,0,RÃDIO
Igrejinha,RS,IP BANDA LARGA,199.9,1000,24,0,FIBRA
Chapeco / Sc (Cco),SC,IP BANDA LARGA,110.0,50,0,,FIBRA
Belo Horizonte / Mg (Bhe),MG,IP BANDA LARGA,90.0,100,0,,FIBRA
Belo Horizonte / Mg (Bhe),MG,IP BANDA LARGA,104.57,10,0,,FIBRA
Nova Santa Rita / Rs (Nvsr),RS,IP DEDICADO,400.0,12,0,,RÃDIO
Porto Alegre / Rs (Pae),RS,IP BANDA LARGA,90.0,100,0,,FIBRA
Barretos / Sp (Brs),SP,IP BANDA LARGA,130.0,200,0,,FIBRA
Cajamar / Sp (Cjr),SP,IP DEDICADO,601.0,10,0,,FIBRA
Barretos / Sp (Brs),SP,IP BANDA LARGA,70.0,15,0,,RÃDIO
Fortaleza,CE,IP DEDICADO,650.0,52,12,30,FIBRA
Brasilia / Df (Bsa),DF,IP DEDICADO,900.0,10,0,,FIBRA
Taubata,SP,IP DEDICADO,650.0,52,12,30,FIBRA
Pinhais,PR,IP DEDICADO,650.0,52,12,30,FIBRA
Julio De Castilhos / Rs (Jcs),RS,L2L LAST MILE,800.0,120,0,,FIBRA
Limeira,SP,IP DEDICADO,650.0,52,12,30,FIBRA
Sorocaba,SP,IP DEDICADO,650.0,52,12,30,FIBRA
Sao Josa Do Rio Preto,SP,IP DEDICADO,650.0,52,12,30,FIBRA
Araaatuba,SP,IP DEDICADO,650.0,52,12,30,FIBRA
Sao Josa Do Rio Preto,SP,IP DEDICADO,650.0,52,12,30,FIBRA
Salvador / Ba (Sdr),BA,IP DEDICADO,580.0,20,0,30,FIBRA
Campinas / Sp (Cas),SP,IP DEDICADO,0.0,40,0,,RÃDIO
Aparecida De Goiania / Go (Acg),GO,IP DEDICADO,649.0,10,0,,FIBRA
Suzano,SP,IP DEDICADO,500.0,100,24,30,FIBRA
Sao Jose / Sc (Soo),SC,IP BANDA LARGA,110.0,50,0,,FIBRA
Porto Alegre / Rs (Pae),RS,IP BANDA LARGA,110.0,50,0,,FIBRA
Porto Alegre / Rs (Pae),RS,IP BANDA LARGA,110.0,50,0,,FIBRA
Cuiaba,MT,IP BANDA LARGA,101.01,10,60,,FIBRA
Alegrete,RS,IP BANDA LARGA,115.85,10,60,,FIBRA
Apucarana,PR,IP BANDA LARGA,115.0,300,60,,FIBRA
Rio De Janeiro,RJ,L2L  LAST MILE,920.0,1000,36,0,FIBRA
Barueri,SP,L2L  LAST MILE,920.0,1000,36,0,FIBRA
Macaa,RJ,IP DEDICADO,742.49,50,24,30,RÃDIO
Anta Nio Prado,RS,IP BANDA LARGA,199.0,100,12,32,FIBRA
Osasco,SP,IP DEDICADO,650.0,52,12,30,FIBRA
Sao Bernardo Do Campo,SP,IP DEDICADO,650.0,52,12,30,FIBRA
Porto Velho / Ro (Pvo),RO,IP DEDICADO,800.0,102,36,0,FIBRA
Campo Largo / Pr (Clg),PR,L2L LAST MILE,0.01,50,36,0,FIBRA
Cacador / Sc (Cdr),SC,L2L LAST MILE,0.01,50,36,0,FIBRA
Curitiba / Pr (Cta),PR,L2L LAST MILE,0.01,50,36,0,FIBRA
Balneario Camboriu / Sc (Bcu),SC,L2L LAST MILE,0.01,50,36,0,FIBRA
Curitiba / Pr (Cta),PR,L2L LAST MILE,0.01,50,36,0,FIBRA
Florianopolis / Sc (Fns),SC,L2L LAST MILE,0.01,50,36,0,FIBRA
Jaragua Do Sul / Sc (Jgs),SC,L2L LAST MILE,0.01,50,36,0,FIBRA
Guarapuava / Pr (Grp),PR,L2L LAST MILE,0.01,50,36,0,FIBRA
Itapema / Sc (Iea),SC,L2L LAST MILE,0.01,50,36,0,FIBRA
Blumenau / Sc (Bnu),SC,L2L LAST MILE,0.01,50,36,0,FIBRA
Florianopolis / Sc (Fns),SC,IP DEDICADO | L2L LAST MILE,0.01,50,36,0,FIBRA
Braco Do Norte / Sc (Bon),SC,IP DEDICADO | L2L LAST MILE,0.01,50,36,0,FIBRA
Porto Uniao / Sc (Pun),SC,IP DEDICADO | L2L LAST MILE,0.01,50,36,0,FIBRA
Videira / Sc (Vii),SC,IP DEDICADO | L2L LAST MILE,0.01,50,36,0,FIBRA
Blumenau / Sc (Bnu),SC,L2L LAST MILE,0.01,50,36,0,FIBRA
Foz Do Iguacu / Pr (Foz),PR,L2L LAST MILE,0.01,50,36,0,FIBRA
Tijucas / Sc (Tij),SC,IP DEDICADO | L2L LAST MILE,280.0,50,36,0,FIBRA
Sao Bento Do Sul / Sc (Sbs),SC,IP DEDICADO | L2L LAST MILE,0.01,50,36,0,FIBRA
Florianopolis / Sc (Fns),SC,IP DEDICADO | L2L LAST MILE,0.01,50,36,0,FIBRA
Timbo / Sc (Tio),SC,IP DEDICADO | L2L LAST MILE,0.01,50,36,0,FIBRA
Lages / Sc (Lgs),SC,IP DEDICADO | L2L LAST MILE,0.01,50,36,0,FIBRA
Medianeira / Pr (Mdn),PR,IP DEDICADO | L2L  LAST MILE,0.01,50,36,0,FIBRA
Toledo / Pr (Too),PR,IP DEDICADO | L2L LAST MILE,0.01,50,36,0,FIBRA
Tubarao / Sc (Tro),SC,IP DEDICADO | L2L LAST MILE,0.01,50,36,0,FIBRA
Balneario Picarras / Sc (Pcx),SC,IP DEDICADO | L2L LAST MILE,0.01,50,36,0,FIBRA
Umuarama / Pr (Umr),PR,L2L LAST MILE,0.01,50,36,0,FIBRA
Araucaria / Pr (Auc),PR,IP DEDICADO | L2L  LAST MILE,0.01,50,36,0,FIBRA
Brusque / Sc (Bqe),SC,L2L LAST MILE | IP DEDICADO,0.01,50,36,0,FIBRA
Ponta Grossa / Pr (Pgo),PR,L2L  LAST MILE | IP DEDICADO,0.01,50,36,0,FIBRA
Santa Rosa,RS,L2L LAST MILE | IP DEDICADO,125.0,10,12,30,FIBRA
Tupacireta,RS,L2L LAST MILE,330.0,100,12,0,FIBRA
Gravataa,RS,IP DEDICADO,0.0,52,36,30,RÃDIO
Campo Grande / Ms (Cpe),MS,IP DEDICADO,400.0,30,0,,FIBRA
Esteio / Rs (Eio),RS,IP DEDICADO,300.0,4,0,,FIBRA
Esteio / Rs (Eio),RS,IP DEDICADO,600.0,20,0,,FIBRA
Viamao / Rs (Vao),RS,IP DEDICADO,500.0,50,0,,FIBRA
Viamao,RS,L2L LAST MILE,0.0,50,24,0,FIBRA
Rio De Janeiro / Rj (Rjo),RJ,IP DEDICADO,900.0,100,12,0,RÃDIO
Silvania / Go (Sva),GO,IP BANDA LARGA,179.9,500,0,,FIBRA
Silvania / Go (Sva),GO,IP BANDA LARGA,179.9,500,0,,FIBRA
Silvania,GO,IP DEDICADO,249.9,600,12,32,FIBRA
Bocaina Do Sul,SC,IP BANDA LARGA,89.9,100,60,,FIBRA
,,IP DEDICADO,219.9,50,12,30,FIBRA
Brasilia,DF,IP DEDICADO,650.0,52,12,30,FIBRA
Salvador / Ba (Sdr),BA,IP DEDICADO,550.0,40,0,30,FIBRA
Salvador / Ba (Sdr),BA,IP BANDA LARGA,120.0,240,0,,FIBRA
Sapucaia Do Sul / Rs (Sps),RS,L2L LAST MILE,933.0,30,0,,FIBRA
Rio De Janeiro / Rj (Rjo),RJ,IP DEDICADO,821.0,52,0,,FIBRA
Sao Paulo / Sp (Spo),SP,IP DEDICADO,0.0,50,0,30,RÃDIO
Curitiba / Pr (Cta),PR,IP DEDICADO,350.0,10,0,,FIBRA
Guarulhos / Sp (Grs),SP,IP DEDICADO,800.0,50,0,,RÃDIO
Altos / Pi (Ats),PI,IP DEDICADO,750.0,500,0,,FIBRA
Campo Maior / Pi (Cra),PI,IP DEDICADO,350.0,10,0,,FIBRA
Porto Alegre / Rs (Pae),RS,L2L LAST MILE,250.0,10,0,30,FIBRA
Ponta Grossa,PR,IP DEDICADO,0.0,150,24,30,FIBRA
Teresina / Pi (Tsa),PI,IP DEDICADO,400.0,20,0,,FIBRA
Guaruja / Sp (Gja),SP,IP DEDICADO,500.0,102,0,,FIBRA
Santa Maria / Rs (Sma),RS,L2L LAST MILE,270.0,10,0,,FIBRA
Cacapava Do Sul / Rs (Cpu),RS,L2L LAST MILE,165.0,10,0,,FIBRA
Mogi Das Cruzes,SP,L2L LAST MILE,700.0,55,12,0,FIBRA
Mogi Das Cruzes,SP,L2L LAST MILE,0.0,200,12,0,FIBRA
Brasilia,DF,IP BANDA LARGA,120.0,50,60,,FIBRA
Brasilia,DF,IP BANDA LARGA,120.0,50,60,,FIBRA
Tiete / Sp (Tie),SP,IP DEDICADO,400.0,12,0,,FIBRA
Barroso / Mg (Bso),MG,IP BANDA LARGA,300.0,100,0,,FIBRA
Brasalia,DF,IP BANDA LARGA,120.0,50,60,,FIBRA
Brasalia,DF,IP BANDA LARGA,120.0,50,60,,FIBRA
Brasalia,DF,IP BANDA LARGA,120.0,50,60,,FIBRA
Brasalia,DF,IP BANDA LARGA,120.0,50,60,,FIBRA
Brasalia,DF,IP BANDA LARGA,120.0,50,60,,FIBRA
Brasalia,DF,IP BANDA LARGA,120.0,50,60,,FIBRA
Brasalia,DF,IP BANDA LARGA,120.0,50,60,,FIBRA
Sao Sepa,RS,IP DEDICADO,210.0,10,12,30,FIBRA
Maracanau / Ce (Mcw),CE,IP DEDICADO,300.0,12,0,,FIBRA
Sao Paulo,SP,L2L  LAST MILE,600.0,200,24,,FIBRA
Sao Pedro Da Aldeia / Rj (Spa),RJ,IP DEDICADO,930.0,102,0,,RÃDIO
Alvaro De Carvalho,SP,IP BANDA LARGA,125.0,50,60,,FIBRA
Alvaro De Carvalho,SP,IP BANDA LARGA,125.0,50,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,125.0,50,60,,FIBRA
Sao Jose Dos Campos,SP,IP BANDA LARGA,125.0,50,60,,FIBRA
Sao Jose Do Rio Preto,SP,IP BANDA LARGA,125.0,50,60,,FIBRA
