Nome Provedor,IP Fixo,Valor Mensal (C/IMP) (R$),Serviço,Cliente Final,Vigência em (Meses),Cidade A,UF A,Interface,Capacidade (MB)
DESKTOP S.A.,30,699.00,IP DEDICADO,DIRECIONAL ENGENHARIA S/A,12,Araraquara,SP,FIBRA,50
COM4 INTERNET PROVIDER LTDA,0,120.00,IP BANDA LARGA,BANCO DO BRASIL SA,60,FRANCA,SP,FIBRA,10
Miyata & Matsushita Ltda,0,99.90,IP BANDA LARGA,BANCO DO BRASIL SA,60,RANCHO ALEGRE DOESTE,PR,FIBRA,10
CLARO S/A,0,89.90,IP BANDA LARGA,BANCO DO BRASIL SA,60,SAO JOSE,RS,FIBRA,10
CLARO S/A,0,89.90,IP BANDA LARGA,BANCO DO BRASIL SA,60,RIO DO SUL,RS,FIBRA,10
CLARO S/A,0,89.90,IP BANDA LARGA,BANCO DO BRASIL SA,60,FLORIANOPOLIS,SC,FIBRA,10
CLARO S/A,0,89.90,IP BANDA LARGA,BANCO DO BRASIL SA,60,BLUMENAU,PR,FIBRA,10
CLARO S/A,0,89.90,IP BANDA LARGA,BANCO DO BRASIL SA,60,SAPUCAIA DO SUL,PR,FIBRA,10
CLARO S/A,0,89.90,IP BANDA LARGA,BANCO DO BRASIL SA,60,MARINGA,PR,FIBRA,10
CLARO S/A,0,89.90,IP BANDA LARGA,BANCO DO BRASIL SA,60,LONDRINA,PR,FIBRA,10
CLARO S/A,0,89.90,IP BANDA LARGA | IP DEDICADO,BANCO DO BRASIL SA,60,LONDRINA,PR,FIBRA,10
CLARO S/A,,89.90,IP BANDA LARGA | IP DEDICADO,BANCO DO BRASIL SA,60,LONDRINA,PR,FIBRA,10
CLARO S/A,0,89.90,IP BANDA LARGA | IP DEDICADO,BANCO DO BRASIL SA,60,CURITIBA,PR,FIBRA,10
CZNET TELECOM LTDA,,200.00,IP DEDICADO,BANRISUL,0,TRES PALMEIRAS / RS (TPM),RS,FIBRA,22
CLARO S/A,n/a,89.90,IP BANDA LARGA | IP DEDICADO,BANCO DO BRASIL,60,Curitiba,PR,FIBRA,10
CLARO S/A,n/a,89.90,IP BANDA LARGA | IP DEDICADO,BANCO DO BRASIL,60,Curitiba,PR,FIBRA,10
TOTALLINKS,30,3.000.00,IP DEDICADO,MERCADO LIVRE - CENTER-PERUS,36,SAO PAULO / SP (SPO),SP,RÁDIO,200
STARWEB,,754.00,IP DEDICADO,Mercado Livre SVC Varginha,0,VARGINHA / MG (VGA),MG,FIBRA,50
ANTONY P MARTINS LTDA,,219.80,IP DEDICADO,TELEBRAS (INSS),0,QUARAI / RS (QRI),RS,FIBRA,15
ZAP TCHE TELECOM LTDA,0,399.90,IP DEDICADO,TELEBRAS INSS,12,Quaraí,RS,FIBRA,15
DCONNECT TELECOM LTDA,30,3.100.00,IP DEDICADO,EBAZAR,12,Embu das Artes,SP,RÁDIO,500
FOCUSTELECOMM TECNOLOGIA EM TELECOMUNICACOES LTDA,30,3.000.00,IP DEDICADO,MERCADO LIVRE,36,São Paulo,SP,RÁDIO,300
PIX CONECT TELECOMUNICACOES LTDA,0,2.200.00,COMPRA | FIBRA APAGADA,MUNICIPIO DE SALESOPOLIS,12,Salesópolis,SP,FIBRA,1
LIGGA TELECOMUNICACOES S.A.,n/a,65.79,IP BANDA LARGA,BANCO DO BRASIL,60,Curitiba,PR,FIBRA,400
LIGGA TELECOMUNICACOES S.A.,n/a,65.79,IP BANDA LARGA,BANCO DO BRASIL,60,Curitiba,PR,FIBRA,400
LIGGA TELECOMUNICACOES S.A.,n/a,65.79,IP BANDA LARGA,BANCO DO BRASIL,60,Curitiba,PR,FIBRA,400
LIGGA TELECOMUNICACOES S.A.,n/a,65.79,IP BANDA LARGA,BANCO DO BRASIL,60,Curitiba,PR,FIBRA,400
LIGGA TELECOMUNICACOES S.A.,n/a,65.79,IP BANDA LARGA,BANCO DO BRASIL,60,Curitiba,PR,FIBRA,400
OPTFIBER TELECOMUNICACOES LTDA,0,990.00,IP DEDICADO,REISTAR INDUSTRIA E COMERCIO DE ELETRONICOS LTDA.,36,,,FIBRA,100
SEBRATEL TECNOLOGIA LTDA,,933.00,L2L LAST MILE,FUNDAcaO HOSPITALAR GETuLIO VARGAS,0,SAPUCAIA DO SUL / RS (SPS),RS,FIBRA,20
SEBRATEL TECNOLOGIA LTDA,,933.00,L2L LAST MILE,FUNDAcaO HOSPITALAR GETuLIO VARGAS,0,SAPUCAIA DO SUL / RS (SPS),RS,FIBRA,20
NETPAL TELECOM LTDA,,224.00,IP DEDICADO,SETUP,0,PELOTAS / RS (PLT),RS,FIBRA,12
BORBA PROVEDOR LTDA,,320.00,IP DEDICADO,SANTANDER,0,BALSAS / MA (BLA),MA,FIBRA,12
FOCUSTELECOMM TECNOLOGIA EM TELECOMUNICACOES LTDA,30,3.000.00,IP DEDICADO,MERCADO LIVRE,36,São Paulo,SP,RÁDIO,300
ITAGUAI.NET SERVICOS DE MULTIMIDIA LTDA,30,700.00,IP DEDICADO,MERCADO LIVRE,36,Caraguatatuba,SP,RÁDIO,102
ITAGUAI.NET SERVICOS DE MULTIMIDIA LTDA,,930.00,IP DEDICADO,MERCADO LIVRE-LAGES,0,LAGES / SC (LGS),SC,RÁDIO,102
ITAGUAI.NET SERVICOS DE MULTIMIDIA LTDA,,930.00,IP DEDICADO,MERCADO LIVRE-MANAUS,0,MANAUS / AM (MNS),AM,RÁDIO,102
ITAGUAI.NET SERVICOS DE MULTIMIDIA LTDA,,930.00,IP DEDICADO,MERCADO LIVRE-MACAÍBA,0,MACAIBA / RN (MCI),RN,RÁDIO,102
ITAGUAI.NET SERVICOS DE MULTIMIDIA LTDA,,930.00,IP DEDICADO | REMOTE HANDS,MERCADO LIVRE-ITAPERUNA,0,ITAPERUNA / RJ (IRA),RJ,RÁDIO,102
E DA SILVA PROVEDORES DE TELECOMUNICACOES LTDA,,900.00,IP DEDICADO,DIRECIONAL,0,MANAUS / AM (MNS),AM,FIBRA,55
CLICK IP TECNOLOGIA LTDA,32,1.085.00,IP DEDICADO,DIRECIONAL,12,Manaus,AM,FIBRA,50
OSI CONNECT TELECOMUNICACOES E SERVICOS LTDA,/29,420.00,IP DEDICADO,DIMED/PANVEL,36,Blumenau,SC,FIBRA,52
BTT TELECOMUNICACOES S.A.,0,0.01,IP DEDICADO,DIRECIONAL,0,BELO HORIZONTE / MG (BHE),MG,FIBRA,100
AKTO TECNOLOGIA LTDA,,650.00,IP DEDICADO,DIRECIONAL ENGENHARIA,0,MANAUS / AM (MNS),AM,FIBRA,20
Ufinet Brasil S/ A,30,450.00,L2L LAST MILE,DIRECIONAL ENGENHARIA - MOOCA OBRA 370,0,SAO PAULO / SP (SPO),SP,FIBRA,50
CENTURY TELECOM,,726.60,IP DEDICADO,DIRECIONAL,0,BELO HORIZONTE / MG (BHE),MG,FIBRA,100
CENTURY TELECOM,/30,975.00,IP DEDICADO,DIRECIONAL,12,BELO HORIZONTE / MG (BHE),MG,FIBRA,200
CENTURY TELECOM,,726.60,IP DEDICADO,DIRECIONAL,0,BELO HORIZONTE / MG (BHE),MG,FIBRA,100
AMANDA GONZALES CIRELLI,,200.00,IP BANDA LARGA,DIRECIONAL,0,OSASCO / SP (OCO),SP,FIBRA,100
Ufinet Brasil S/ A,30,1.000.00,L2L LAST MILE,DIRECIONAL,0,OSASCO / SP (OCO),SP,FIBRA,200
OSIRNET INFO TELECOM LTDA,,399.90,IP DEDICADO,SICREDI,24,Manoel Viana,RS,FIBRA,100
MIL NEGOCIOS LTDA,30,950.00,IP DEDICADO,EBAZAR,11,Itajaí,SC,RÁDIO,100
NEXUSS INTERNET LTDA,n/a,115.00,IP BANDA LARGA,BANCO DO BRASIL,60,Curitiba,PR,FIBRA,400
NEXUSS INTERNET LTDA,n/a,115.00,IP BANDA LARGA,BANCO DO BRASIL,60,Curitiba,PR,FIBRA,400
NEXUSS INTERNET LTDA,n/a,115.00,IP BANDA LARGA,BANCO DO BRASIL,60,Curitiba,PR,FIBRA,400
NEXUSS INTERNET LTDA,n/a,115.00,IP BANDA LARGA,BANCO DO BRASIL,60,Curitiba,PR,FIBRA,400
NEXUSS INTERNET LTDA,n/a,115.00,IP BANDA LARGA,BANCO DO BRASIL,60,Curitiba,PR,FIBRA,400
NEXUSS INTERNET LTDA,n/a,115.00,IP BANDA LARGA,BANCO DO BRASIL,60,Curitiba,PR,FIBRA,400
AV3M TELECOM & MULTIMIDIA LTDA,30,399.90,IP DEDICADO,SICREDI,12,Manoel Viana,RS,FIBRA,100
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,PORTO VELHO / RO (PVO),RO,FIBRA,10
S & M NACIONAL TELECOM LTDA,n/a,119.99,IP BANDA LARGA,BANCO DO BRASIL,60,PORTO VELHO,RO,FIBRA,400
S & M NACIONAL TELECOM LTDA,n/a,119.99,IP BANDA LARGA,BANCO DO BRASIL,60,PORTO VELHO,RO,FIBRA,400
BHT TELECOM LTDA,n/a,250.00,IP BANDA LARGA,BANCO DO BRASIL,60,LONDRINA,PR,FIBRA,50
LIGGA TELECOMUNICACOES S.A.,n/a,225.00,L2L  LAST MILE,BANCO DO BRASIL,60,PONTA GROSSA,PR,FIBRA,5
LIGGA TELECOMUNICACOES S.A.,n/a,225.00,L2L LAST MILE,BANCO DO BRASIL,60,GUARAPUAVA,PR,FIBRA,5
LIGGA TELECOMUNICACOES S.A.,n/a,225.00,L2L LAST MILE,BANCO DO BRASIL,60,FOZ DO IGUACU,PR,FIBRA,5
LIGGA TELECOMUNICACOES S.A.,n/a,225.00,L2L  LAST MILE,BANCO DO BRASIL,60,FLOR DA SERRA DO SUL,PR,FIBRA,5
LIGGA TELECOMUNICACOES S.A.,n/a,225.00,L2L LAST MILE,BANCO DO BRASIL,60,SAUDADE DO IGUACU,PR,FIBRA,5
LIGGA TELECOMUNICACOES S.A.,n/a,225.00,L2L LAST MILE,BANCO DO BRASIL,60,PALOTINA,PR,FIBRA,5
LIGGA TELECOMUNICACOES S.A.,n/a,65.79,IP BANDA LARGA,BANCO DO BRASIL,60,OURIZONA,PR,FIBRA,50
LIGGA TELECOMUNICACOES S.A.,n/a,225.00,L2L LAST MILE,BANCO DO BRASIL,60,FOZ DO IGUACU,PR,FIBRA,5
LIGGA TELECOMUNICACOES S.A.,n/a,225.00,L2L  LAST MILE,BANCO DO BRASIL,60,DIAMANTE DO SUL,PR,FIBRA,5
LIGGA TELECOMUNICACOES S.A.,n/a,65.79,IP BANDA LARGA,BANCO DO BRASIL,60,CURITIBA,PR,FIBRA,50
WECLIX TELECOM S.A.,n/a,119.90,IP BANDA LARGA,DIRECIONAL,12,Araraquara,SP,FIBRA,700
ROLIM NET SERVICOS & INTERNET LTDA,n/a,250.00,IP BANDA LARGA,BANCO DO BRASIL,60,TARAUACA,AC,FIBRA,50
ROLIM NET SERVICOS & INTERNET LTDA,n/a,250.00,IP BANDA LARGA,BANCO DO BRASIL,60,RODRIGUES ALVES,AC,FIBRA,50
ROLIM NET SERVICOS & INTERNET LTDA,n/a,250.00,IP BANDA LARGA,BANCO DO BRASIL,60,RIO BRANCO,AC,FIBRA,50
ROLIM NET SERVICOS & INTERNET LTDA,n/a,250.00,IP BANDA LARGA,BANCO DO BRASIL,60,RIO BRANCO,AC,FIBRA,50
ROLIM NET SERVICOS & INTERNET LTDA,n/a,250.00,IP BANDA LARGA,BANCO DO BRASIL,60,RIO BRANCO,AC,FIBRA,50
ROLIM NET SERVICOS & INTERNET LTDA,n/a,250.00,IP BANDA LARGA,BANCO DO BRASIL,60,CRUZEIRO DO SUL,AC,FIBRA,50
ROLIM NET SERVICOS & INTERNET LTDA,n/a,250.00,IP BANDA LARGA,BANCO DO BRASIL,60,CRUZEIRO DO SUL,AC,FIBRA,50
ROLIM NET SERVICOS & INTERNET LTDA,n/a,250.00,IP BANDA LARGA,BANCO DO BRASIL,60,CRUZEIRO DO SUL,AC,FIBRA,50
ZN DIGITAL PALOTINA LTDA,n/a,79.90,IP BANDA LARGA,BANCO DO BRASIL,60,PALOTINA,PR,FIBRA,100
IRED INTERNET LTDA,n/a,252.33,IP DEDICADO,BANCO DO BRASIL,60,LONDRINA,PR,FIBRA,30
IRED INTERNET LTDA,n/a,252.33,IP DEDICADO,BANCO DO BRASIL,60,LONDRINA,PR,FIBRA,30
MARIANA VEIGA MAIA,,450.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,JUIZ DE FORA / MG (JFA),MG,FIBRA,10
SITELBRA SISTEMA DE TELECOMUNICACOES DO BRASIL LTDA,,400.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,111.62,IP BANDA LARGA,BANCO DO BRASIL,60,ARABUTA,SC,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,111.62,IP BANDA LARGA,BANCO DO BRASIL,60,CANDIOTA,RS,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,97.37,IP BANDA LARGA,BANCO DO BRASIL,60,JARU,RO,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,97.33,IP BANDA LARGA,BANCO DO BRASIL,60,BELEM,PA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,97.33,IP BANDA LARGA,BANCO DO BRASIL,60,BELEM,PA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,472.71,IP BANDA LARGA,BANCO DO BRASIL,60,CUIABA,MT,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,97.33,IP BANDA LARGA,BANCO DO BRASIL,60,CUIABA,MT,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,97.33,IP BANDA LARGA,BANCO DO BRASIL,60,APARECIDA DE GOIANIA,GO,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,97.27,IP BANDA LARGA,BANCO DO BRASIL,60,MATA DE SAO JOAO,BA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,97.27,IP BANDA LARGA,BANCO DO BRASIL,60,GALIA,SP,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,136.56,IP BANDA LARGA,BANCO DO BRASIL,60,PETROPOLIS,RJ,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,111.62,IP BANDA LARGA,BANCO DO BRASIL,60,GUARAPUAVA,PR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,100.78,IP BANDA LARGA,BANCO DO BRASIL,60,VILA VELHA,ES,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,223.70,IP DEDICADO,BANCO DO BRASIL,60,BELEM,PA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,204.77,IP DEDICADO,BANCO DO BRASIL,60,BELO HORIZONTE,MG,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,19.80,IP DEDICADO,BANCO DO BRASIL,60,SAO PAULO,SP,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,240.55,IP DEDICADO,BANCO DO BRASIL,60,RIO DE JANEIRO,RJ,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,240.55,IP DEDICADO,BANCO DO BRASIL,60,RIO DE JANEIRO,RJ,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,240.55,IP DEDICADO,BANCO DO BRASIL,60,RIO DE JANEIRO,RJ,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,204.77,IP DEDICADO,BANCO DO BRASIL,60,BELO HORIZONTE,MG,FIBRA,10
WIKI TELECOMUNICACOES LTDA,n/a,240.00,IP BANDA LARGA,BANCO DO BRASIL,60,SÃO LUÍS,MA,FIBRA,50
SEEG FIBRAS TELECOMUNICACOES LTDA,,1.100.00,L2L LAST MILE,SITELBRA - HOSPITAL,24,,,FIBRA,100
OLLA SERVICOS & INTERNET LTDA,n/a,300.00,IP BANDA LARGA,BANCO DO BRASIL,60,PORTO VELHO,RO,FIBRA,50
SEEG FIBRAS TELECOMUNICACOES LTDA,,950.00,L2L LAST MILE,SITELBRA - HOSPITAL,0,CACERES / MT (CCS),MT,FIBRA,100
ALLREDE PARTICIPACOES LTDA,0,1.050.00,L2L LAST MILE,SITELBRA - HOSPITAL,12,CACERES,MT,FIBRA,100
ALLREDE PARTICIPACOES LTDA,,1.050.00,L2L LAST MILE,SITELBRA - HOSPITAL,12,CÁCERES,MT,FIBRA,100
IRED INTERNET LTDA,n/a,252.33,IP DEDICADO,BANCO DO BRASIL,60,LONDRINA,PR,FIBRA,30
IRED INTERNET LTDA,n/a,252.33,IP BANDA LARGA | IP DEDICADO,BANCO DO BRASIL,60,LONDRINA,PR,FIBRA,30
ALGAR SOLUCOES EM TIC S/A,,119.00,IP BANDA LARGA,DIRECIONAL - RIBEIRÃO PRETO,12,Ribeirão Preto,SP,FIBRA,100
FYBERNET TELEINFORMATICA LTDA,n/a,89.90,IP BANDA LARGA,BANCO DO BRASIL,60,CURITIBA,PR,FIBRA,200
NORTH TELECOMUNICAÇÕES LTDA,30,500.00,IP DEDICADO,SICREDI,12,Guanhães,MG,FIBRA,50
NEW SERVICOS DE INTERNET LTDA,n/a,160.00,IP BANDA LARGA,BANCO DO BRASIL,60,JARU,RO,FIBRA,50
BHT TELECOM LTDA,n/a,250.00,IP BANDA LARGA,BANCO DO BRASIL,60,LONDRINA,PR,FIBRA,50
BHT TELECOM LTDA,n/a,250.00,IP BANDA LARGA,BANCO DO BRASIL,60,LONDRINA,PR,FIBRA,50
BHT TELECOM LTDA,n/a,250.00,IP BANDA LARGA,BANCO DO BRASIL,60,LONDRINA,PR,FIBRA,50
INACIO TELECOMUNICACOES LTDA,30,890.00,IP DEDICADO,EBAZAR,12,Cascavel,PR,FIBRA,100
VERO S.A.,0,178.00,IP BANDA LARGA,DIRECIONAL,12,São Paulo,SP,FIBRA,200
CONNECTION TELECOM LTDA,n/a,129.90,IP BANDA LARGA,DIRECIONAL ENGENHARIA,12,Belo Horizonte,MG,FIBRA,100
NETPAL TELECOM LTDA,,250.00,IP BANDA LARGA,SETUP SERVICOS ESPECIALIZADOS LTDA,0,TRAMANDAI / RS (TRI),RS,FIBRA,10
NETPAL TELECOM LTDA,,224.00,IP DEDICADO,SETUP,0,BALNEARIO PINHAL / RS (BNPH),RS,FIBRA,12
WS-NET INTERNET E DADOS LTDA,30,999.90,IP DEDICADO,SETUP RS,0,PORTO ALEGRE / RS (PAE),RS,FIBRA,105
KINET PROVEDOR DE INTERNET E SERVICOS DE TELECOM LTDA.,,250.00,IP BANDA LARGA,SETUP,0,OSORIO / RS (OSR),RS,FIBRA,200
VIU INTERNET PROVEDORA DE ACESSO LTDA,,299.00,IP BANDA LARGA,SETUP,0,TRAMANDAI / RS (TRI),RS,FIBRA,640
NETPAL TELECOM LTDA,,350.00,IP DEDICADO,SETUP - SECUNDáRIO,0,ELDORADO DO SUL / RS (ESU),RS,FIBRA,205
NETPAL TELECOM LTDA,,297.00,IP DEDICADO,SETUP,0,PELOTAS / RS (PLT),RS,FIBRA,105
SUNO TELECOM LTDA,30,650.00,IP DEDICADO,SHPX LOGISTICA LTDA,12,Juazeiro,BA,FIBRA,50
VIACOM PROVEDOR DE INTERNET LTDA,,130.00,IP DEDICADO,IGN TELEC,0,PIRAPO / RS (PIQ),RS,FIBRA,5
NIQTURBO TELECOM LTDA,,350.00,IP DEDICADO,SANTANDER,0,NIQUELANDIA / GO (NQA),GO,FIBRA,12
NETPAL TELECOM LTDA,,375.00,IP DEDICADO,SETUP,0,CAMAQUA / RS (CAM),RS,FIBRA,52
BTT TELECOMUNICACOES S.A.,30,855.67,IP DEDICADO,DIRECIONAL ENGENHARIA S/A,12,Belo Horizonte,MG,FIBRA,22
GRUPO DE SOLUCOES REDEON E SERVICOS DE MULTIMIDIA LTDA,30,700.00,IP DEDICADO,DIRECIONAL ENGENHARIA,12,Duque de Caxias,RJ,FIBRA,200
NEOVIA SOLUTIONS BRASIL SERVICOS DE LOGISTICA LTDA.,30,940.00,IP DEDICADO,Mercado Livre,36,Piracicaba,SP,RÁDIO,102
NETFLOW ENGENHARIA LTDA,30,1.145.00,IP DEDICADO,MOBIT TECNOLOGIA E SERVICOS ADMINISTRATIVOS LTDA,36,Belford Roxo,RJ,RÁDIO,100
WFA DUARTE LTDA,n/a,125.00,IP BANDA LARGA,BANCO DO BRASIL,60,Belo Horizonte,MG,FIBRA,500
WFA DUARTE LTDA,n/a,125.00,IP BANDA LARGA,BANCO DO BRASIL,60,Passos,MG,FIBRA,500
LINK TELECOMUNICACOES LTDA,30,300.00,IP DEDICADO,CARGILL,12,Sidrolândia,MS,FIBRA,15
VOE TELECOMUNICACOES LTDA,n/a,169.90,IP BANDA LARGA,BANCO DO BRASIL,60,VILA VELHA,ES,FIBRA,220
VOE TELECOMUNICACOES LTDA,n/a,169.90,IP BANDA LARGA,BANCO DO BRASIL,60,ARACRUZ,ES,FIBRA,220
VOE TELECOMUNICACOES LTDA,n/a,169.90,IP BANDA LARGA,BANCO DO BRASIL,60,ARACRUZ,ES,FIBRA,220
IVR INFORMATICA LTDA,30,300.00,IP DEDICADO,CARGILL,12,Sidrolândia,MS,FIBRA,15
WSP SERVICOS DE TELECOMUNICACOES LTDA,n/a,169.90,IP BANDA LARGA,BANCO DO BRASIL,60,ALTAMIRA,PA,FIBRA,100
NETULTRA TELECOM LTDA,n/a,229.90,IP BANDA LARGA,BANCO DO BRASIL,60,CARLINDA,MT,FIBRA,50
NETULTRA TELECOM LTDA,n/a,229.90,IP BANDA LARGA,BANCO DO BRASIL,60,COTRIGUAÇU,MT,FIBRA,50
MORRO TELECOM LTDA,n/a,100.00,IP DEDICADO,BANCO DO BRASIL,60,CAIRU,BA,FIBRA,20
LINK NET TELECOMUNICACOES LTDA,n/a,219.90,IP BANDA LARGA,BANCO DO BRASIL,60,ARACRUZ,ES,FIBRA,50
LINK NET TELECOMUNICACOES LTDA,n/a,219.90,IP BANDA LARGA,BANCO DO BRASIL,60,ARACRUZ,ES,FIBRA,50
UNIFIQUE TELECOMUNICACOES S/A,0,250.00,IP DEDICADO,TELEBRaS,0,RIO DO SUL / SC (RSL),SC,FIBRA,12
EBR INTERNET LTDA,/30,395.00,IP DEDICADO,SICREDI,12,Serra,ES,FIBRA,20
MHNET TELECOMUNICACOES LTDA,,250.00,L2L LAST MILE,MPRS,12,Lagoa Vermelha,RS,FIBRA,30
SEM LIMITE COMUNICACOES LTDA,,500.00,IP DEDICADO,DHL SHEIN - II LINK,0,GUARULHOS / SP (GRS),SP,FIBRA,55
MHNET TELECOMUNICACOES LTDA,,350.00,L2L LAST MILE,MINISTeRIO PuBLICO,12,LAGOA VERMELHA / RS (LVH),RS,FIBRA,50
PAULO GEOVANE FERREIRA DE LIMA ME,30,1.450.00,IP DEDICADO,DPTO DE POLICIA RDV FEDERAL (PRF),12,Miranda,MS,RÁDIO,2
BTT TELECOMUNICACOES S.A.,/30,692.83,IP DEDICADO,DIRECIONAL ENGENHARIA,12,Belo Horizonte,MG,FIBRA,22
MHNET TELECOMUNICACOES LTDA,0,250.00,L2L LAST MILE,MPRS,12,Lagoa Vermelha,RS,FIBRA,50
ARENA TELECOM SERVICOS DE INTERNET LTDA,/30,395.00,IP DEDICADO,SICREDI,12,Serra,ES,FIBRA,20
MHNET TELECOMUNICACOES LTDA,,250.00,L2L LAST MILE,MPRS,12,Lagoa Vermelha,RS,FIBRA,30
EBR INTERNET LTDA,/30,395.00,IP DEDICADO,SICREDI,12,Serra,ES,FIBRA,20
ALCANS TELECOM LTDA,0,149.00,IP BANDA LARGA,DIRECIONAL ENGENHARIA S.A.,12,Ribeirao Preto,SP,FIBRA,100
CONNECTION TELECOM LTDA,n/a,129.90,IP BANDA LARGA,DIRECIONAL ENGENHARIA S/A,12,Belo Horizonte,MG,FIBRA,100
CONNECTRONIC SERVICOS LTDA,0,469.90,IP DEDICADO,DHL,36,Serra,ES,RÁDIO,10
ITAGUAI.NET SERVICOS DE MULTIMIDIA LTDA,,700.00,IP DEDICADO,MIRASSOL LOG,0,CACAPAVA / SP (CPV),SP,RÁDIO,52
ITAGUAI.NET SERVICOS DE MULTIMIDIA LTDA,,700.00,IP DEDICADO,MIRASSOL LOG,0,CACAPAVA / SP (CPV),SP,RÁDIO,52
NIPCABLE DO BRASIL TELECOM LTDA,,2.000.00,IP DEDICADO,MERCADO LIVRE,0,CACAPAVA / SP (CPV),SP,FIBRA,200
INSIDESIGN TECNOLOGIA LTDA,0,260.00,IP DEDICADO,DIRECIONAL ENGENHARIA S/A,12,,,FIBRA,50
MUNDIVOX,,500.00,IP DEDICADO,6470 Servicos Agencia de Viagens (CVC Shopping Analia Franco),0,SAO PAULO / SP (SPO),SP,FIBRA,20
EDER CAMPOS,n/a,149.90,IP BANDA LARGA,BANCO DO BRASIL,60,CAMPO MOURÃO,PR,FIBRA,100
WIUP INTERNET LTDA,n/a,200.00,IP BANDA LARGA,BANCO DO BRASIL,60,SÃO JOSÉ,,FIBRA,10
ADYL NET ACESSO A INTERNET LTDA,,640.00,L2L LAST MILE,AURORA ALIMENTOS,0,NOVA SANTA RITA / RS (NVSR),RS,FIBRA,100
CLONIX TELECOM LTDA,32,1.050.00,IP DEDICADO,EBAZAR,12,MORRO DA FUMAÇA,SC,RÁDIO,50
ADYL NET ACESSO A INTERNET LTDA,n/a,200.00,L2L LAST MILE,MPRS,60,SAO JERONIMO / RS (SJO),RS,FIBRA,50
M.B. SERVICOS EM TELECOMUNICACOES LTDA,n/a,249.90,IP BANDA LARGA,BANCO DO BRASIL,60,PARAGOMINAS,PA,FIBRA,600
E DA SILVA PROVEDORES DE TELECOMUNICACOES LTDA,,450.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,MANACAPURU / AM (MPU),AM,FIBRA,32
CLICK IP TECNOLOGIA LTDA,30,1.250.00,IP DEDICADO,CN CONTRATACOES - CECOT/BR,12,MANACAPURU,AM,FIBRA,40
MHNET TELECOMUNICACOES LTDA,,90.00,IP BANDA LARGA,BANCO DO BRASIL,0,SANTA MARIA / RS (SMA),RS,FIBRA,50
TELECOM SOUTH AMERICA S/A,30,699.00,IP DEDICADO,DIRECIONAL ENGENHARIA,12,Rio de Janeiro,RJ,FIBRA,100
TELECOM SOUTH AMERICA S/A,0,109.90,IP BANDA LARGA,DIRECIONAL ENGENHARIA S.A.,12,Rio de Janeiro,RJ,FIBRA,100
K & V SERVICOS DE TELECOMUNICACOES LTDA.,n/a,115.00,IP BANDA LARGA,BANCO DO BRASIL,60,CAMPO GRANDE,MS,FIBRA,300
Izaac freire da silva,30,999.00,IP DEDICADO,EBAZAR,12,vitória da conquista,ba,RÁDIO,100
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,BARROQUINHA / CE (BQN),CE,FIBRA,10
SUNO TELECOM LTDA,30,300.00,IP DEDICADO,MRV ENGENHARIA,24,Maceió,AL,FIBRA,22
V.tal - Rede Neutra de Telecomunicacoes S.a,,104.59,IP BANDA LARGA,BANCO DO BRASIL,0,SERRA / ES (SEA),ES,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
VERO SA,,115.00,IP BANDA LARGA,BANCO DO BRASIL,0,GUARARAPES / SP (GAP),SP,FIBRA,100
