Nome Provedor,IP Fixo,Valor Mensal (C/IMP) (R$),Serviço,Cliente Final,Vigência em (Meses),Cidade A,UF A,Interface,Capacidade (MB)
PROSERVER TELECOMUNICACOES S.A.,30,250.00,L2L LAST MILE,AGROFEL,0,CRUZ ALTA / RS (CZA),RS,FIBRA,30
ALARES INTERNET,30,750.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,VARGINHA / MG (VGA),MG,FIBRA,40
GIGA MAIS FIBRA TELECOMUNICACOES S.A.,30,815.91,IP DEDICADO,DIRECIONAL,12,BRASILIA,DF,FIBRA,100
GMX PROVEDOR DE INTERNET SERVICOS E LOCACOES LTDA,29,450.00,IP DEDICADO,SEBRAE,12,BONITO,MS,FIBRA,400
AS INFORMATICA LTDA,0,320.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,NOVA SERRANA / MG (NVS),MG,FIBRA,15
INFOTEL ENGENHARIA & TELECOMUNICACOES SCM LTDA,0,500.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,PALMAS / TO (PMJ),TO,FIBRA,35
ACESSOLINE TELECOMUNICACOES LTDA,n/a,0.01,L2L LAST MILE,EXPEREO,12,,,FIBRA,1000
ELO SOLUCOES EMPRESARIAIS LTDA,0,300.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,PONTALINA / GO (PNN),GO,FIBRA,100
SUPERCORE TECNOLOGIA E INFORMATICA LTDA,32,1.100.00,IP DEDICADO,SHOPEE MATRIZ,12,Vitória da Conquista,BA,RÁDIO,52
ICONECT LINE -PROVEDOR DE ACESSO A INTERNET LTDA,n/a,120.00,IP BANDA LARGA,DIRECIONAL,12,Camaçari,BA,FIBRA,100
SIDI SERVICOS DE COMUNICACAO LTDA,30,400.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,MANAUS / AM (MNS),AM,FIBRA,12
SILVA & GONCALVES INFORMATICA LTDA,0,300.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,ITAPAGIPE / MG (IGY),MG,FIBRA,10
MUNDIVOX TELECOMUNICACOES LTDA,30,1.118.75,IP DEDICADO,DIRECIONAL ENGENHARIA S/A,12,Rio de Janeiro,RJ,FIBRA,200
CENTURY TELECOM,0,590.00,IP DEDICADO,DIRECIONAL  - OBRA 478,1,BELO HORIZONTE / MG (BHE),MG,FIBRA,50
CIA NET INFOR SOLUCOES EM INFORMATICA LTDA,32,542.00,IP DEDICADO,DIRECIONAL,12,Camaçari,BA,FIBRA,25
NET ONZE PROVEDOR DE ACESSO A INTERNET LTDA,0,350.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,ROCA SALES / RS (ROS),RS,FIBRA,200
ELO SOLUCOES EMPRESARIAIS LTDA,0,300.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,IBIA / MG (IBY),MG,FIBRA,100
ELO SOLUCOES EMPRESARIAIS LTDA,0,400.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,UBERABA / MG (URA),MG,FIBRA,100
VANDSON DE SOUZA MOREIRA,32,1.100.00,IP DEDICADO,SHOPEE MATRIZ,12,Itabuna,BA,RÁDIO,52
DEBIAN SIGNAL COMUNICACAO MULTIMIDIA LTDA,0,570.00,IP DEDICADO,JSL - LORENA,0,LORENA / SP (LNA),SP,FIBRA,10
ARIPUANA COMERCIO DE ELETRO ELETRONICOS LTDA,30,520.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,ARIPUANA / MT (AYP),MT,FIBRA,12
S.O. DO BRASIL TELECOMUNICACOES LTDA,30,540.00,IP DEDICADO,JSL Juiz de Fora (Granvita Pet),0,JUIZ DE FORA / MG (JFA),MG,FIBRA,20
BRAYO LTDA,N/A,2.700.00,IP DEDICADO | L2L LAST MILE,EXPEREO,12,PEDERNEIRAS,SP,FIBRA,10000
CONNECTION TELECOM LTDA,30,1.400.00,IP DEDICADO,SHPX LOGISTICA LTDA,24,Belo Horizonte,MG,RÁDIO,100
MUNDIAL NET TELECOM LTDA,30,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,BREU BRANCO / PA (BUBO),PA,FIBRA,12
TELECOMUNICAÇÕES RONDONÓPOLIS LTDA,0,1.020.00,IP DEDICADO,JSL S.A.,0,RONDONOPOLIS / MT (ROI),MT,FIBRA,60
SINAL BR TELECOM LTDA,32,1.000.00,IP DEDICADO,SHOPEE MATRIZ,12,Araçatuba,SP,RÁDIO,52
SINAL BR TELECOM LTDA,32,1.000.00,IP DEDICADO,SHOPEE MATRIZ,12,São José do Rio Preto,SP,RÁDIO,52
BRASIL DIGITAL TELECOMUNICACOES LTDA,n/a,2.642.64,L2L  LAST MILE,LINKCALL SERVICOS DE CALL CENTER S.A,1,Aracaju,SE,FIBRA,1000
DEZ SOLUCOES EM TELECOMUNICACOES LTDA,30,150.00,IP BANDA LARGA,GRAZZIOTIN - LINK II,0,DOIS VIZINHOS / PR (DVZ),PR,FIBRA,120
POX NETWORK TELECOMUNICACOES LTDA,0,900.00,IP DEDICADO,DIRECIONAL STAND SOROCABA,0,SOROCABA / SP (SOC),SP,FIBRA,52
AMPERNET - TELECOMUNICACOES LTDA,30,450.00,IP DEDICADO,JSL,0,PONTA GROSSA / PR (PGO),PR,FIBRA,35
ADYL NET ACESSO A INTERNET LTDA,0,800.00,L2L LAST MILE,META AGRiCOLA,0,LAGOA VERMELHA / RS (LVH),RS,FIBRA,50
SEBRATEL TECNOLOGIA LTDA,,390.00,L2L LAST MILE,TJRS,12,Porto Alegre,RS,FIBRA,50
ACESSOLINE TELECOMUNICACOES LTDA,,0.01,L2L  LAST MILE,EXPEREO TELECOM,12,Curitiba,PR,FIBRA,100
ITACOLOMI COMUNICACAO LTDA.,0,249.90,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,ITAUNA / MG (IAN),MG,FIBRA,100
SITECNET INFORMATICA LTDA,30,300.00,IP DEDICADO,AGIBANK,0,JOAO PESSOA / PB (JPA),PB,FIBRA,10
K & V SERVICOS DE TELECOMUNICACOES LTDA.,n/a,4.800.00,CHIPS 4G,BANCO DO BRASIL,60,,,N/A,1
K & V SERVICOS DE TELECOMUNICACOES LTDA.,n/a,4.800.00,CHIPS 4G,BANCO DO BRASIL,60,,,N/A,1
K & V SERVICOS DE TELECOMUNICACOES LTDA.,n/a,1.600.00,CHIPS 4G,BANCO DO BRASIL,60,,,N/A,1
K & V SERVICOS DE TELECOMUNICACOES LTDA.,n/a,2.800.00,CHIPS 4G,BANCO DO BRASIL,60,,,N/A,1
NETWAY TELECOM LTDA,30,300.00,IP DEDICADO,DASA,24,Rio de Janeiro,RJ,FIBRA,20
K & V SERVICOS DE TELECOMUNICACOES LTDA.,n/a,800.00,CHIPS 4G,BANCO DO BRASIL,60,,,N/A,1
AGE TELECOMUNICACOES LTDA,N/A,100.29,IP BANDA LARGA,DIRECIONAL,12,BRASILIA,DF,FIBRA,600
MS DIGITAL TELECOM,0,290.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,DOURADOS / MS (DOS),MS,FIBRA,10
MS DIGITAL TELECOM,0,290.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,CHAPADAO DO SUL / MS (CSF),MS,FIBRA,10
MS DIGITAL TELECOM,0,300.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,DOURADOS / MS (DOS),MS,FIBRA,15
MS DIGITAL TELECOM,0,290.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,DOURADOS / MS (DOS),MS,FIBRA,10
MS DIGITAL TELECOM,0,290.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,FATIMA DO SUL / MS (FSU),MS,FIBRA,10
MS DIGITAL TELECOM,0,290.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,DOURADOS / MS (DOS),MS,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,n/a,0.01,L2L LAST MILE,DASA,24,Rio de Janeiro,RJ,FIBRA,20
PONTUAL REDES DE COMUNICACAO LTDA,n/a,200.00,IP BANDA LARGA,BANCO DO BRASIL,60,PORTO ALEGRE,RS,FIBRA,400
PONTUAL REDES DE COMUNICACAO LTDA,n/a,200.00,IP BANDA LARGA,BANCO DO BRASIL,60,PORTO ALEGRE,RS,FIBRA,400
PONTUAL REDES DE COMUNICACAO LTDA,n/a,200.00,IP BANDA LARGA,BANCO DO BRASIL,60,PORTO ALEGRE,RS,FIBRA,400
CABO SERVICOS DE TELECOMUNICACOES S.A.,N/A,99.99,IP BANDA LARGA,BANCO DO BRASIL,60,NATAL,RN,FIBRA,630
CABO SERVICOS DE TELECOMUNICACOES S.A.,n/a,99.99,IP BANDA LARGA,BANCO DO BRASIL,60,NATAL,RN,FIBRA,630
DEBIAN SIGNAL COMUNICACAO MULTIMIDIA LTDA,30,1.000.00,IP DEDICADO,COMGAS,36,LORENA,SP,FIBRA,60
TECSYSTEM,30,250.00,IP DEDICADO,PERKONS,0,SAO LEOPOLDO / RS (SLE),RS,FIBRA,10
TECSYSTEM,30,250.00,L2L LAST MILE,PERKONS,0,CAPELA DE SANTANA / RS (CQN),RS,FIBRA,10
AMPERNET - TELECOMUNICACOES LTDA,30,160.00,IP DEDICADO,GRAZZIOTIN - LINK I,0,DOIS VIZINHOS / PR (DVZ),PR,FIBRA,12
NT NET TELECOM LTDA,30,220.00,IP DEDICADO,PROMIL,24,Sapé,PB,FIBRA,55
Ufinet Brasil S/ A,n/a,1.200.00,L2L  LAST MILE,MERCADO LIVRE,36,São João do Meriti,RJ,FIBRA,1000
SKYNET PRESTACAO DE SERVICOS DE COMUNICACAO MULTIMIDIA LTDA,0,350.00,IP DEDICADO,Original Confeccao de Tapetes Automotivos Eireli,0,ITAQUAQUECETUBA / SP (IAQ),SP,FIBRA,20
M H DOS SANTOS MELO,30,500.00,IP DEDICADO,MOVIDA,36,RIO LARGO,AL,FIBRA,50
SUPERCORE TECNOLOGIA E INFORMATICA LTDA,0,700.00,IP DEDICADO,SHOPEE,0,VITORIA DA CONQUISTA / BA (VCA),BA,FIBRA,50
COPREL TELECOM LTDA.,0,250.00,L2L LAST MILE,JP SANTA LUCIA COM DE COMB LTDA,0,PANAMBI / RS (PMB),RS,FIBRA,10
WLENET SERVICOS DE TELECOMUNICACOES LTDA,N/A,320.00,L2L LAST MILE,DASA,24,Rio de Janeiro,RJ,FIBRA,20
ATEL DO BRASIL TELECOM LTDA,30,600.00,IP DEDICADO,MOVIDA,36,Petrolina,PE,FIBRA,55
WLENET SERVICOS DE TELECOMUNICACOES LTDA,0,350.00,IP DEDICADO,SANTANDER,0,SAO GONCALO / RJ (SGO),RJ,FIBRA,12
SEBRATEL TECNOLOGIA LTDA,n/a,280.00,L2L  LAST MILE,DASA,24,Sapucaia do Sul,RS,FIBRA,20
TOTALLINKS,30,1.300.00,IP DEDICADO,GEODIS LOGíSTICA DO BRASIL LTDA JUNDIAí,0,JUNDIAI / SP (JAI),SP,RÁDIO,50
IP CONSULTORIA LTDA,30,600.00,IP DEDICADO,MOVIDA,36,São Luís,MA,FIBRA,50
SIDI SERVICOS DE COMUNICACAO LTDA,30,400.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,MANAUS / AM (MNS),AM,FIBRA,12
